,pval,Region,Stain,test,comparison,test.stat,effect_size,FDR_adjusted_pval,Region_Stain,Age.Harvested
V32,0.000321048,Midbrain..sensory.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Midbrain..sensory.related_NeuN,6
V33,0.849816607,Midline.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Midline.group.of.the.dorsal.thalamus_NeuN,6
V34,0.887068694,Nucleus.accumbens,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,73,0.024355255,0.934650923,Nucleus.accumbens_NeuN,6
V35,0.000384708,Olfactory.areas,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.608881376,0.003526486,Olfactory.areas_NeuN,6
V36,0.602562415,Olfactory.tubercle,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,65,0.089302602,0.70813959,Olfactory.tubercle_NeuN,6
V37,0.000321048,Pallidum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,Pallidum_NeuN,6
V38,0.635941334,Parasubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,66,0.081184183,0.73173166,Parasubiculum_NeuN,6
V39,0.001515739,Pons,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.543934029,0.006616322,Pons_NeuN,6
V40,0.001515739,Pons..behavioral.state.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.543934029,0.006616322,Pons..behavioral.state.related_NeuN,6
V41,0.000460015,Pons..motor.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,151,0.600762958,0.003614404,Pons..motor.related_NeuN,6
V42,0.016196478,Pons..sensory.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,21,0.412361104,0.035632251,Pons..sensory.related_NeuN,6
V43,0.368426844,Posterior.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.154249949,0.47791218,Posterior.amygdalar.nucleus_NeuN,6
V44,0.001515739,Postsubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.543934029,0.006616322,Postsubiculum_NeuN,6
V45,0.812896879,Presubiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,71,0.040592092,0.894186567,Presubiculum_NeuN,6
V46,0.000384708,Reticular.nucleus.of.the.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,152,0.608881376,0.003526486,Reticular.nucleus.of.the.thalamus_NeuN,6
V47,0.000460015,Striatum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,2,0.600762958,0.003614404,Striatum_NeuN,6
V48,0.000321048,Striatum.like.amygdalar.nuclei,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,Striatum.like.amygdalar.nuclei_NeuN,6
V49,0.023072675,Striatum_Pallidum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,28,0.389684081,0.048068073,Striatum_Pallidum_NeuN,6
V50,0.448804441,Subiculum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,60,0.129894694,0.558467065,Subiculum_NeuN,6
V51,0.236629793,Subparafascicular.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,102,0.202960459,0.330320778,Subparafascicular.nucleus_NeuN,6
V52,0.000652442,Thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,149,0.584608004,0.004179905,Thalamus_NeuN,6
V53,0.000548903,Ventral.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,150,0.592644539,0.003773707,Ventral.group.of.the.dorsal.thalamus_NeuN,6
V54,0.000321048,ventricular.systems,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,ventricular.systems_NeuN,6
V55,0.0203643,Ammon.s.horn,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,126,0.397802499,0.043412268,Ammon.s.horn_GFAP,6
V56,0.000653585,Anterior.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,4,0.584526121,0.004179905,Anterior.group.of.the.dorsal.thalamus_GFAP,6
V57,0.013832595,Basolateral.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,129,0.422157754,0.030926532,Basolateral.amygdalar.nucleus_GFAP,6
V58,0.033153883,Basomedial.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,31,0.365328826,0.066549765,Basomedial.amygdalar.nucleus_GFAP,6
V59,0.006039848,Caudoputamen,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,18,0.470868264,0.016445131,Caudoputamen_GFAP,6
V60,0.538293636,Claustrum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,90,0.105539438,0.649257675,Claustrum_GFAP,6
V61,0.002448463,Cortex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.519578774,0.008859571,Cortex_GFAP,6
V62,0.255908621,Cortical.subplate,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,52,0.19484204,0.353642566,Cortical.subplate_GFAP,6
V63,0.000321048,Dentate.gyrus..granule.cell.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,Dentate.gyrus..granule.cell.layer_GFAP,6
V64,0.01793752,Dentate.gyrus..molecular.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,127,0.405920917,0.03853764,Dentate.gyrus..molecular.layer_GFAP,6
V65,0.000321048,Dentate.gyrus..polymorph.layer,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Dentate.gyrus..polymorph.layer_GFAP,6
V66,0.368426844,Endopiriform.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.154249949,0.47791218,Endopiriform.nucleus_GFAP,6
V67,0.887068694,Entorhinal.area,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,73,0.024355255,0.934650923,Entorhinal.area_GFAP,6
V68,0.000321048,Epithalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Epithalamus_GFAP,6
V69,0.002448463,fiber.tracts,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,141,0.519578774,0.008859571,fiber.tracts_GFAP,6
V70,0.962243757,Fundus.of.striatum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.008118418,0.97285674,Fundus.of.striatum_GFAP,6
V71,0.569996073,Geniculate.group..dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,64,0.09742102,0.678566753,Geniculate.group..dorsal.thalamus_GFAP,6
V72,0.962243757,Geniculate.group..ventral.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.008118418,0.97285674,Geniculate.group..ventral.thalamus_GFAP,6
V73,0.006039848,Hippo,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,135,0.470868264,0.016445131,Hippo_GFAP,6
V74,0.776388432,Hippocampal.formation,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,83,0.04871051,0.864400076,Hippocampal.formation_GFAP,6
V75,0.477659735,Hypothalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,92,0.121776275,0.581223129,Hypothalamus_GFAP,6
V76,0.03281002,Induseum.griseum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,87,0.366046647,0.066549765,Induseum.griseum_GFAP,6
V77,0.962243757,Intralaminar.nuclei.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.008118418,0.97285674,Intralaminar.nuclei.of.the.dorsal.thalamus_GFAP,6
V78,0.002448463,Isocortex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.519578774,0.008859571,Isocortex_GFAP,6
V79,0.046789521,Lateral.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,34,0.34097357,0.088738747,Lateral.amygdalar.nucleus_GFAP,6
V80,0.118250884,Lateral.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.267907805,0.191288195,Lateral.group.of.the.dorsal.thalamus_GFAP,6
V81,0.849816607,Lateral.septal.complex,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Lateral.septal.complex_GFAP,6
V82,0.635941334,Medial.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,66,0.081184183,0.73173166,Medial.group.of.the.dorsal.thalamus_GFAP,6
V83,0.010580471,Mid_Hind_Medulla,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,131,0.438394591,0.025523066,Mid_Hind_Medulla_GFAP,6
V84,0.297672152,Midbrain,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,99,0.178605204,0.403250452,Midbrain_GFAP,6
V85,0.107508009,Midbrain..behavioral.state.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,111,0.276026224,0.179180015,Midbrain..behavioral.state.related_GFAP,6
V86,0.185016311,Midbrain..motor.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,105,0.227315714,0.276518942,Midbrain..motor.related_GFAP,6
V87,0.041796709,Midbrain..sensory.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,33,0.349091989,0.080944331,Midbrain..sensory.related_GFAP,6
V88,0.477659735,Midline.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,61,0.121776275,0.581223129,Midline.group.of.the.dorsal.thalamus_GFAP,6
V89,0.058288183,Nucleus.accumbens,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,36,0.324736734,0.10904252,Nucleus.accumbens_GFAP,6
V90,0.013832595,Olfactory.areas,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,24,0.422157754,0.030926532,Olfactory.areas_GFAP,6
V91,0.118250884,Olfactory.tubercle,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.267907805,0.191288195,Olfactory.tubercle_GFAP,6
V92,0.002091115,Pallidum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,142,0.527697192,0.008334153,Pallidum_GFAP,6
V93,0.393551348,Parasubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,85,0.146321682,0.504166331,Parasubiculum_GFAP,6
V94,0.012110102,Pons,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,130,0.430276172,0.027985531,Pons_GFAP,6
V95,0.127157194,Pons..behavioral.state.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,98,0.261605431,0.203303653,Pons..behavioral.state.related_GFAP,6
V96,0.000548903,Pons..motor.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,150,0.592644539,0.003773707,Pons..motor.related_GFAP,6
V97,0.08323017,Pons..sensory.related,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,34,0.297077354,0.14578533,Pons..sensory.related_GFAP,6
V98,0.635941334,Posterior.amygdalar.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,87,0.081184183,0.73173166,Posterior.amygdalar.nucleus_GFAP,6
V99,0.740367479,Postsubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,69,0.056828928,0.837864431,Postsubiculum_GFAP,6
V100,0.064865179,Presubiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,116,0.316618315,0.120526515,Presubiculum_GFAP,6
V101,0.34376,Reticular.nucleus.of.the.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,56,0.162368367,0.454490384,Reticular.nucleus.of.the.thalamus_GFAP,6
V102,0.812896879,Striatum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,71,0.040592092,0.894186567,Striatum_GFAP,6
V103,0.185016311,Striatum.like.amygdalar.nuclei,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,48,0.227315714,0.276518942,Striatum.like.amygdalar.nuclei_GFAP,6
V104,0.218401126,Striatum_Pallidum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,50,0.211078877,0.314451883,Striatum_Pallidum_GFAP,6
V105,0.001782195,Subiculum,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,143,0.535815611,0.007425813,Subiculum_GFAP,6
V106,0.887068694,Subparafascicular.nucleus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,80,0.024355255,0.934650923,Subparafascicular.nucleus_GFAP,6
V107,0.037262464,Thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,32,0.357210407,0.073194125,Thalamus_GFAP,6
V108,0.002860908,Ventral.group.of.the.dorsal.thalamus,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,13,0.511460356,0.009850482,Ventral.group.of.the.dorsal.thalamus_GFAP,6
V109,0.962243757,ventricular.systems,GFAP,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.008118418,0.97285674,ventricular.systems_GFAP,6
V110,0.058288183,Ammon.s.horn,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,117,0.324736734,0.10904252,Ammon.s.horn_Iba1,6
V111,0.079858108,Anterior.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,114,0.300381479,0.140775512,Anterior.group.of.the.dorsal.thalamus_Iba1,6
V112,0.218401126,Basolateral.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,103,0.211078877,0.314451883,Basolateral.amygdalar.nucleus_Iba1,6
V113,0.001782195,Basomedial.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,10,0.535815611,0.007425813,Basomedial.amygdalar.nucleus_Iba1,6
V114,0.142245169,Caudoputamen,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,108,0.251670969,0.222258077,Caudoputamen_Iba1,6
V115,0.394166404,Claustrum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,58,0.14613153,0.504166331,Claustrum_Iba1,6
V116,0.000384708,Cortex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.608881376,0.003526486,Cortex_Iba1,6
V117,0.037262464,Cortical.subplate,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,32,0.357210407,0.073194125,Cortical.subplate_Iba1,6
V118,0.005223004,Dentate.gyrus..granule.cell.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,17,0.478986682,0.015119222,Dentate.gyrus..granule.cell.layer_Iba1,6
V119,0.000920809,Dentate.gyrus..molecular.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,147,0.568289284,0.004869665,Dentate.gyrus..molecular.layer_Iba1,6
V120,0.000460015,Dentate.gyrus..polymorph.layer,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,151,0.600762958,0.003614404,Dentate.gyrus..polymorph.layer_Iba1,6
V121,0.118250884,Endopiriform.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.267907805,0.191288195,Endopiriform.nucleus_Iba1,6
V122,0.046789521,Entorhinal.area,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,34,0.34097357,0.088738747,Entorhinal.area_Iba1,6
V123,0.009225146,Epithalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,132,0.446513009,0.022651028,Epithalamus_Iba1,6
V124,0.000384708,fiber.tracts,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.608881376,0.003526486,fiber.tracts_Iba1,6
V125,0.004507305,Fundus.of.striatum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,16,0.487105101,0.013772319,Fundus.of.striatum_Iba1,6
V126,0.776388432,Geniculate.group..dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,70,0.04871051,0.864400076,Geniculate.group..dorsal.thalamus_Iba1,6
V127,0.368426844,Geniculate.group..ventral.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.154249949,0.47791218,Geniculate.group..ventral.thalamus_Iba1,6
V128,0.000321048,Hippo,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Hippo_Iba1,6
V129,0.448804441,Hippocampal.formation,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,60,0.129894694,0.558467065,Hippocampal.formation_Iba1,6
V130,0.012110102,Hypothalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,130,0.430276172,0.027985531,Hypothalamus_Iba1,6
V131,1,Induseum.griseum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,46,0,1,Induseum.griseum_Iba1,6
V132,0.420965221,Intralaminar.nuclei.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.138013112,0.531034108,Intralaminar.nuclei.of.the.dorsal.thalamus_Iba1,6
V133,0.000384708,Isocortex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.608881376,0.003526486,Isocortex_Iba1,6
V134,0.477659735,Lateral.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,61,0.121776275,0.581223129,Lateral.amygdalar.nucleus_Iba1,6
V135,0.34376,Lateral.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,97,0.162368367,0.454490384,Lateral.group.of.the.dorsal.thalamus_Iba1,6
V136,0.201203986,Lateral.septal.complex,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,104,0.219197295,0.292757122,Lateral.septal.complex_Iba1,6
V137,0.394166404,Medial.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,95,0.14613153,0.504166331,Medial.group.of.the.dorsal.thalamus_Iba1,6
V138,0.009225146,Mid_Hind_Medulla,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,132,0.446513009,0.022651028,Mid_Hind_Medulla_Iba1,6
V139,0.236629793,Midbrain,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,102,0.202960459,0.330320778,Midbrain_Iba1,6
V140,0.320174067,Midbrain..behavioral.state.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,98,0.170486785,0.429501797,Midbrain..behavioral.state.related_Iba1,6
V141,0.015767923,Midbrain..motor.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,128,0.414039336,0.034969184,Midbrain..motor.related_Iba1,6
V142,0.201203986,Midbrain..sensory.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,49,0.219197295,0.292757122,Midbrain..sensory.related_Iba1,6
V143,0.569996073,Midline.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,89,0.09742102,0.678566753,Midline.group.of.the.dorsal.thalamus_Iba1,6
V144,0.623261445,Nucleus.accumbens,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,58,0.084245817,0.72625804,Nucleus.accumbens_Iba1,6
V145,0.008026953,Olfactory.areas,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,20,0.454631427,0.020630019,Olfactory.areas_Iba1,6
V146,0.000920809,Olfactory.tubercle,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,6,0.568289284,0.004869665,Olfactory.tubercle_Iba1,6
V147,0.118250884,Pallidum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,110,0.267907805,0.191288195,Pallidum_Iba1,6
V148,0.244648067,Parasubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,91,0.199529566,0.339788982,Parasubiculum_Iba1,6
V149,0.000920809,Pons,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,147,0.568289284,0.004869665,Pons_Iba1,6
V150,0.003335879,Pons..behavioral.state.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,139,0.503341937,0.010667054,Pons..behavioral.state.related_Iba1,6
V151,0.000321048,Pons..motor.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Pons..motor.related_Iba1,6
V152,0.103349812,Pons..sensory.related,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,36,0.279341393,0.173299989,Pons..sensory.related_Iba1,6
V153,0.088348987,Posterior.amygdalar.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,40,0.29226306,0.151849822,Posterior.amygdalar.nucleus_Iba1,6
V154,0.088348987,Postsubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,113,0.29226306,0.151849822,Postsubiculum_Iba1,6
V155,0.079858108,Presubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,114,0.300381479,0.140775512,Presubiculum_Iba1,6
V156,0.602562415,Reticular.nucleus.of.the.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,65,0.089302602,0.70813959,Reticular.nucleus.of.the.thalamus_Iba1,6
V157,0.041796709,Striatum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,33,0.349091989,0.080944331,Striatum_Iba1,6
V158,0.001286424,Striatum.like.amygdalar.nuclei,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,8,0.552052447,0.006099424,Striatum.like.amygdalar.nuclei_Iba1,6
V159,0.097553094,Striatum_Pallidum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,41,0.284144642,0.16458344,Striatum_Pallidum_Iba1,6
V160,0.008026953,Subiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,133,0.454631427,0.020630019,Subiculum_Iba1,6
V161,0.420965221,Subparafascicular.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.138013112,0.531034108,Subparafascicular.nucleus_Iba1,6
V162,0.023072675,Thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,125,0.389684081,0.048068073,Thalamus_Iba1,6
V163,0.005223004,Ventral.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,136,0.478986682,0.015119222,Ventral.group.of.the.dorsal.thalamus_Iba1,6
V164,0.000321048,ventricular.systems,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,ventricular.systems_Iba1,6
V165,0.006970045,Ammon.s.horn,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,134,0.462749846,0.018791787,Ammon.s.horn_AB1.42,6
V166,0.297672152,Anterior.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,54,0.178605204,0.403250452,Anterior.group.of.the.dorsal.thalamus_AB1.42,6
V167,0.046789521,Basolateral.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,119,0.34097357,0.088738747,Basolateral.amygdalar.nucleus_AB1.42,6
V168,0.012110102,Basomedial.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,23,0.430276172,0.027985531,Basomedial.amygdalar.nucleus_AB1.42,6
V169,0.006039848,Caudoputamen,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,18,0.470868264,0.016445131,Caudoputamen_AB1.42,6
V170,0.365516535,Claustrum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,86,0.155189663,0.47791218,Claustrum_AB1.42,6
V171,0.002860908,Cortex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,13,0.511460356,0.009850482,Cortex_AB1.42,6
V172,0.320174067,Cortical.subplate,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,98,0.170486785,0.429501797,Cortical.subplate_AB1.42,6
V173,0.079858108,Dentate.gyrus..granule.cell.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,39,0.300381479,0.140775512,Dentate.gyrus..granule.cell.layer_AB1.42,6
V174,0.201203986,Dentate.gyrus..molecular.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,49,0.219197295,0.292757122,Dentate.gyrus..molecular.layer_AB1.42,6
V175,0.187311701,Dentate.gyrus..polymorph.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.226133508,0.278436313,Dentate.gyrus..polymorph.layer_AB1.42,6
V176,0.088348987,Endopiriform.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,113,0.29226306,0.151849822,Endopiriform.nucleus_AB1.42,6
V177,0.013832595,Entorhinal.area,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,24,0.422157754,0.030926532,Entorhinal.area_AB1.42,6
V178,0.183430619,Epithalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,8,0.228138751,0.276518942,Epithalamus_AB1.42,6
V179,0.008026953,fiber.tracts,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,20,0.454631427,0.020630019,fiber.tracts_AB1.42,6
V180,1,Fundus.of.striatum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,53,0,1,Fundus.of.striatum_AB1.42,6
V181,0.670076541,Geniculate.group..dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,67,0.073065765,0.761450615,Geniculate.group..dorsal.thalamus_AB1.42,6
V182,0.887068694,Geniculate.group..ventral.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,73,0.024355255,0.934650923,Geniculate.group..ventral.thalamus_AB1.42,6
V183,0.001286424,Hippo,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.552052447,0.006099424,Hippo_AB1.42,6
V184,0.849816607,Hippocampal.formation,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Hippocampal.formation_AB1.42,6
V185,0.001515739,Hypothalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.543934029,0.006616322,Hypothalamus_AB1.42,6
V186,1,Induseum.griseum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0,1,Induseum.griseum_AB1.42,6
